Date,rain,SM,ExcS,ExcI,R,R_Obs
2023/07/26:00,0,0.353247973107042,0,0,0,-9999
2023/07/26:01,0,0.353247973107042,0,0,0,-9999
2023/07/26:02,0,0.353247973107042,0,0,0,-9999
2023/07/26:03,0,0.353247973107042,0,0,0,-9999
2023/07/26:04,0,0.353247973107042,0,0,0,-9999
2023/07/26:05,0,0.353247973107042,0,0,0,-9999
2023/07/26:06,0,0.353247973107042,0,0,0,-9999
2023/07/26:07,0,0.353247973107042,0,0,0,-9999
2023/07/26:08,0,0.353247973107042,0,0,0,-9999
2023/07/26:09,0,0.353247973107042,0,0,0,-9999
2023/07/26:10,0,0.353247973107042,0,0,0,-9999
2023/07/26:11,0,0.353247973107042,0,0,0,-9999
2023/07/26:12,0,0.353247973107042,0,0,0,-9999
2023/07/26:13,0,0.353247973107042,0,0,0,-9999
2023/07/26:14,0,0.353247973107042,0,0,0,-9999
2023/07/26:15,0,0.353247973107042,0,0,0,-9999
2023/07/26:16,0,0.353247973107042,0,0,0,-9999
2023/07/26:17,0,0.353247973107042,0,0,0,-9999
2023/07/26:18,0,0.353247973107042,0,0,0,-9999
2023/07/26:19,0,0.353247973107042,0,0,0,-9999
2023/07/26:20,0,0.353247973107042,0,0,0,-9999
2023/07/26:21,0,0.353247973107042,0,0,0,-9999
2023/07/26:22,0,0.353247973107042,0,0,0,-9999
2023/07/26:23,0,0.353247973107042,0,0,0,-9999
2023/07/27:00,0,0.353247973107042,0,0,0,-9999
2023/07/27:01,0,0.353247973107042,0,0,0,-9999
2023/07/27:02,0,0.353247973107042,0,0,0,-9999
2023/07/27:03,0,0.353247973107042,0,0,0,-9999
2023/07/27:04,0,0.353247973107042,0,0,0,-9999
2023/07/27:05,0,0.353247973107042,0,0,0,-9999
2023/07/27:06,0,0.353247973107042,0,0,0,-9999
2023/07/27:07,0,0.353247973107042,0,0,0,-9999
2023/07/27:08,0,0.353247973107042,0,0,0,-9999
2023/07/27:09,0,0.353247973107042,0,0,0,-9999
2023/07/27:10,0,0.353247973107042,0,0,0,-9999
2023/07/27:11,0,0.353247973107042,0,0,0,-9999
2023/07/27:12,0,0.353247973107042,0,0,0,-9999
2023/07/27:13,0,0.353247973107042,0,0,0,-9999
2023/07/27:14,0,0.353247973107042,0,0,0,-9999
2023/07/27:15,0,0.353247973107042,0,0,0,-9999
2023/07/27:16,0,0.353247973107042,0,0,0,-9999
2023/07/27:17,0,0.353247973107042,0,0,0,-9999
2023/07/27:18,0,0.353247973107042,0,0,0,-9999
2023/07/27:19,0,0.353247973107042,0,0,0,-9999
2023/07/27:20,0,0.353247973107042,0,0,0,-9999
2023/07/27:21,0,0.353247973107042,0,0,0,-9999
2023/07/27:22,0,0.353247973107042,0,0,0,-9999
2023/07/27:23,0,0.353247973107042,0,0,0,-9999
2023/07/28:00,0,0.353247973107042,0,0,0,-9999
2023/07/28:01,0,0.353247973107042,0,0,0,-9999
2023/07/28:02,0,0.353247973107042,0,0,0,-9999
2023/07/28:03,0,0.353247973107042,0,0,0,-9999
2023/07/28:04,0,0.353247973107042,0,0,0,-9999
2023/07/28:05,0,0.353247973107042,0,0,0,-9999
2023/07/28:06,0,0.353247973107042,0,0,0,-9999
2023/07/28:07,0,0.353247973107042,0,0,0,-9999
2023/07/28:08,0,0.353247973107042,0,0,0,-9999
2023/07/28:09,0,0.353247973107042,0,0,0,-9999
2023/07/28:10,0,0.353247973107042,0,0,0,-9999
2023/07/28:11,0,0.353247973107042,0,0,0,-9999
2023/07/28:12,0,0.353247973107042,0,0,0,-9999
2023/07/28:13,0,0.353247973107042,0,0,0,-9999
2023/07/28:14,0,0.353247973107042,0,0,0,-9999
2023/07/28:15,0,0.353247973107042,0,0,0,-9999
2023/07/28:16,0,0.353247973107042,0,0,0,-9999
2023/07/28:17,0,0.353247973107042,0,0,0,-9999
2023/07/28:18,0,0.353247973107042,0,0,0,-9999
2023/07/28:19,0,0.353247973107042,0,0,0,-9999
2023/07/28:20,0,0.353247973107042,0,0,0,-9999
2023/07/28:21,0,0.353247973107042,0,0,0,-9999
2023/07/28:22,0,0.353247973107042,0,0,0,-9999
2023/07/28:23,0,0.353247973107042,0,0,0,-9999
2023/07/29:00,0,0.353247973107042,0,0,0,-9999
2023/07/29:01,0,0.353247973107042,0,0,0,-9999
2023/07/29:02,0,0.353247973107042,0,0,0,-9999
2023/07/29:03,0,0.353247973107042,0,0,0,-9999
2023/07/29:04,0,0.353247973107042,0,0,0,-9999
2023/07/29:05,0,0.353247973107042,0,0,0,-9999
2023/07/29:06,0,0.353247973107042,0,0,0,-9999
2023/07/29:07,0,0.353247973107042,0,0,0,-9999
2023/07/29:08,0,0.353247973107042,0,0,0,-9999
2023/07/29:09,0,0.353247973107042,0,0,0,-9999
2023/07/29:10,0.00035272168730303,0.353247973107042,0,0,0,-9999
2023/07/29:11,5.17648658491409e-05,0.353247973107042,0,0,0,-9999
2023/07/29:12,0.00596615162196764,0.353249275688869,5.83684597039033e-07,0,0,-9999
2023/07/29:13,0.00241423142682097,0.353249636084683,3.43423728234429e-07,0,0,-9999
2023/07/29:14,0.0277292117386749,0.353270566084229,3.22920102368966e-05,0,0,-9999
2023/07/29:15,0.00179825913982446,0.353271011209744,2.74993875898705e-06,0,0,-9999
2023/07/29:16,0,0.353270969816088,0,0,0,-9999
2023/07/29:17,0,0.3532709274066,0,0,0,-9999
2023/07/29:18,0,0.353270885993192,0,0,0,-9999
2023/07/29:19,0,0.35327084539265,0,0,0,-9999
2023/07/29:20,0,0.353270807160949,0,0,0,-9999
2023/07/29:21,0,0.353270770173849,0,0,0,-9999
2023/07/29:22,0,0.353270734421121,0,0,0,-9999
2023/07/29:23,0,0.353270700289372,0,0,0,-9999
2023/07/30:00,0,0.353270667586528,0,0,0,-9999
2023/07/30:01,0,0.353270635735624,0,0,4.92411720879839e-05,-9999
2023/07/30:02,0,0.353270603408238,0,0,0.000146353952454048,-9999
2023/07/30:03,0,0.353270564779746,0,0,0.00254615681874908,-9999
2023/07/30:04,0,0.353270519718364,0,0,0.00713772358428164,-9999
2023/07/30:05,0,0.353270463673815,0,0,0.0104899846143319,-9999
2023/07/30:06,0,0.353270388325809,0,0,0.0105321882016407,-9999
2023/07/30:07,0,0.353270328872953,0,0,0.00814335574187399,-9999
2023/07/30:08,0,0.353270276004484,0,0,0.00518894648991778,-9999
2023/07/30:09,0.00610583054497029,0.353270397447842,2.54133707379553e-06,0,0.00284504401643179,-9999
2023/07/30:10,0.422805134164269,0.353718994443811,0.00505496414439037,0,0.00138250598431681,-9999
2023/07/30:11,0.38096519529137,0.354069454320004,0.0029737888537178,0,0.000608218531622683,-9999
2023/07/30:12,0.0148946062790205,0.354068084670926,0,0,0.00024614132116995,-9999
2023/07/30:13,0.0061133470937249,0.35406698187199,0,0,9.27622023585904e-05,-9999
2023/07/30:14,0,0.354066034751922,0,0,3.28717491917724e-05,-9999
2023/07/30:15,0,0.354065187334976,0,0,1.10387608330382e-05,-9999
2023/07/30:16,0,0.354064388226538,0,0,3.53530403167703e-06,-9999
2023/07/30:17,0,0.354063620273456,0,0,1.0855062432362e-06,-9999
2023/07/30:18,0,0.354062879355605,0,0,3.20965272782672e-07,-9999
2023/07/30:19,0,0.354062153780537,0,0,9.17344231152179e-08,-9999
2023/07/30:20,0,0.35406144349384,0,0,2.54242620476618e-08,-9999
2023/07/30:21,0,0.354060744704239,0,0,6.8518502958185e-09,-9999
2023/07/30:22,0,0.354060063351586,0,0,0.000401931274885257,-9999
2023/07/30:23,0,0.35405939139893,0,0,0.00540617304220001,-9999
2023/07/31:00,0,0.354058728174419,0,0,0.0183085880061786,-9999
2023/07/31:01,0,0.35405808128877,0,0,0.152234985250613,-9999
2023/07/31:02,0,0.354057441816818,0,0,0.408182868052107,-9999
2023/07/31:03,0,0.354056518369604,0,0,0.870198875253792,-9999
2023/07/31:04,0,0.354055276663087,0,0,1.50760298907653,-9999
2023/07/31:05,0,0.354053926377879,0,0,1.97346143552615,-9999
2023/07/31:06,0,0.354052543663362,0,0,1.99774473976018,-9999
2023/07/31:07,0,0.354051138491476,0,0,1.6384013783025,-9999
2023/07/31:08,0,0.354049825485679,0,0,1.1338287976993,-9999
2023/07/31:09,0,0.354048606394038,0,0,0.683196316669515,-9999
2023/07/31:10,0.00672702824858074,0.354048264583102,1.13800723683368e-05,0,0.367051056815508,-9999
2023/07/31:11,0.0975822290967601,0.354131775304126,0.00103940417788843,0,0.179049540406677,-9999
