Date,rain,SM,ExcS,ExcI,R,R_Obs
2023/07/26:00,0,0.149626347526268,0,0,0,-9999
2023/07/26:01,0,0.149626347526268,0,0,0,-9999
2023/07/26:02,0,0.149626347526268,0,0,0,-9999
2023/07/26:03,0,0.149626347526268,0,0,0,-9999
2023/07/26:04,0,0.149626347526268,0,0,0,-9999
2023/07/26:05,0,0.149626347526268,0,0,0,-9999
2023/07/26:06,0,0.149626347526268,0,0,0,-9999
2023/07/26:07,0,0.149626347526268,0,0,0,-9999
2023/07/26:08,0,0.149626347526268,0,0,0,-9999
2023/07/26:09,0,0.149626347526268,0,0,0,-9999
2023/07/26:10,0,0.149626347526268,0,0,0,-9999
2023/07/26:11,0,0.149626347526268,0,0,0,-9999
2023/07/26:12,0,0.149626347526268,0,0,0,-9999
2023/07/26:13,0,0.149626347526268,0,0,0,-9999
2023/07/26:14,0,0.149626347526268,0,0,0,-9999
2023/07/26:15,0,0.149626347526268,0,0,0,-9999
2023/07/26:16,0,0.149626347526268,0,0,0,-9999
2023/07/26:17,0,0.149626347526268,0,0,0,-9999
2023/07/26:18,0,0.149626347526268,0,0,0,-9999
2023/07/26:19,0,0.149626347526268,0,0,0,-9999
2023/07/26:20,0,0.149626347526268,0,0,0,-9999
2023/07/26:21,0,0.149626347526268,0,0,0,-9999
2023/07/26:22,0,0.149626347526268,0,0,0,-9999
2023/07/26:23,0,0.149626347526268,0,0,0,-9999
2023/07/27:00,0,0.149626347526268,0,0,0,-9999
2023/07/27:01,0,0.149626347526268,0,0,0,-9999
2023/07/27:02,0,0.149626347526268,0,0,0,-9999
2023/07/27:03,0,0.149626347526268,0,0,0,-9999
2023/07/27:04,0,0.149626347526268,0,0,0,-9999
2023/07/27:05,0,0.149626347526268,0,0,0,-9999
2023/07/27:06,0,0.149626347526268,0,0,0,-9999
2023/07/27:07,0,0.149626347526268,0,0,0,-9999
2023/07/27:08,0,0.149626347526268,0,0,0,-9999
2023/07/27:09,0,0.149626347526268,0,0,0,-9999
2023/07/27:10,0,0.149626347526268,0,0,0,-9999
2023/07/27:11,0,0.149626347526268,0,0,0,-9999
2023/07/27:12,0,0.149626347526268,0,0,0,-9999
2023/07/27:13,0,0.149626347526268,0,0,0,-9999
2023/07/27:14,0,0.149626347526268,0,0,0,-9999
2023/07/27:15,0,0.149626347526268,0,0,0,-9999
2023/07/27:16,0,0.149626347526268,0,0,0,-9999
2023/07/27:17,0,0.149626347526268,0,0,0,-9999
2023/07/27:18,0,0.149626347526268,0,0,0,-9999
2023/07/27:19,0,0.149626347526268,0,0,0,-9999
2023/07/27:20,0,0.149626347526268,0,0,0,-9999
2023/07/27:21,0,0.149626347526268,0,0,0,-9999
2023/07/27:22,0,0.149626347526268,0,0,0,-9999
2023/07/27:23,0,0.149626347526268,0,0,0,-9999
2023/07/28:00,0,0.149626347526268,0,0,0,-9999
2023/07/28:01,0,0.149626347526268,0,0,0,-9999
2023/07/28:02,0,0.149626347526268,0,0,0,-9999
2023/07/28:03,0,0.149626347526268,0,0,0,-9999
2023/07/28:04,0,0.149626347526268,0,0,0,-9999
2023/07/28:05,0,0.149626347526268,0,0,0,-9999
2023/07/28:06,0,0.149626347526268,0,0,0,-9999
2023/07/28:07,0,0.149626347526268,0,0,0,-9999
2023/07/28:08,0,0.149626347526268,0,0,0,-9999
2023/07/28:09,0,0.149626347526268,0,0,0,-9999
2023/07/28:10,0,0.149626347526268,0,0,0,-9999
2023/07/28:11,0,0.149626347526268,0,0,0,-9999
2023/07/28:12,0,0.149626347526268,0,0,0,-9999
2023/07/28:13,0,0.149626347526268,0,0,0,-9999
2023/07/28:14,0,0.149626347526268,0,0,0,-9999
2023/07/28:15,0,0.149626347526268,0,0,0,-9999
2023/07/28:16,0,0.149626347526268,0,0,0,-9999
2023/07/28:17,0,0.149626347526268,0,0,0,-9999
2023/07/28:18,0,0.149626347526268,0,0,0,-9999
2023/07/28:19,0,0.149626347526268,0,0,0,-9999
2023/07/28:20,0,0.149626347526268,0,0,0,-9999
2023/07/28:21,0,0.149626347526268,0,0,0,-9999
2023/07/28:22,0,0.149626347526268,0,0,0,-9999
2023/07/28:23,0,0.149626347526268,0,0,0,-9999
2023/07/29:00,0,0.149626347526268,0,0,0,-9999
2023/07/29:01,0,0.149626347526268,0,0,0,-9999
2023/07/29:02,0,0.149626347526268,0,0,0,-9999
2023/07/29:03,0,0.149626347526268,0,0,0,-9999
2023/07/29:04,0,0.149626347526268,0,0,0,-9999
2023/07/29:05,0,0.149626347526268,0,0,0,-9999
2023/07/29:06,0,0.149626347526268,0,0,0,-9999
2023/07/29:07,0,0.149626347526268,0,0,0,-9999
2023/07/29:08,0,0.149626347526268,0,0,0,-9999
2023/07/29:09,0,0.149626347526268,0,0,0,-9999
2023/07/29:10,3.16345883132169e-06,0.149626347526268,0,0,0,-9999
2023/07/29:11,0.010184752179004,0.149626465804807,6.45944370022877e-07,0,0,-9999
2023/07/29:12,0.0586728727054686,0.149650675006631,6.50756002064902e-05,0,0,-9999
2023/07/29:13,0.291409336422256,0.149993323676147,0.00204127730431761,0,0,-9999
2023/07/29:14,1.43683510658337,0.151971363053857,0.039892643771313,0,0,-9999
2023/07/29:15,0.0698024766641515,0.151992558761896,0.000653794941084209,0,0,-9999
2023/07/29:16,0,0.151991994698337,0,0,0,-9999
2023/07/29:17,0,0.151991461129837,0,0,0,-9999
2023/07/29:18,0,0.151990944813047,0,0,0.291872665873597,-9999
2023/07/29:19,0,0.151990444028917,0,0,4.49181281128787,-9999
2023/07/29:20,0,0.151989969539904,0,0,5.76244598027855,-9999
2023/07/29:21,0,0.151989513899962,0,0,4.18047833856378,-9999
2023/07/29:22,0,0.15198906263849,0,0,2.22058287330672,-9999
2023/07/29:23,0,0.151988637802921,0,0,0.961362664163208,-9999
2023/07/30:00,0,0.151988226432584,0,0,0.359471278702221,-9999
2023/07/30:01,0,0.151987824708548,0,0,0.120312959836605,-9999
2023/07/30:02,0,0.15198742073096,0,0,0.0369132397006202,-9999
2023/07/30:03,0,0.151986862813463,0,0,0.0105575688406249,-9999
2023/07/30:04,0,0.15198621512912,0,0,0.00284972429727035,-9999
2023/07/30:05,0,0.151985402666901,0,0,0.000732725975370364,-9999
2023/07/30:06,0,0.151984308870392,0,0,0.000180765312139585,-9999
2023/07/30:07,0,0.151983264359714,0,0,4.30333461691464e-05,-9999
2023/07/30:08,0,0.151982454136777,0,0,9.93140666260634e-06,-9999
2023/07/30:09,0.00211252205200876,0.151981692460855,0,0,2.23031663769905e-06,-9999
2023/07/30:10,0.0268962344080426,0.151983206417718,1.09370785466246e-05,0,4.88906838455207e-07,-9999
2023/07/30:11,0.00362333679685196,0.151982481580063,0,0,1.04887434200935e-07,-9999
2023/07/30:12,0,0.151981817682543,0,0,2.20707936827374e-08,-9999
2023/07/30:13,0,0.151981202717039,0,0,4.5638203331081e-09,-9999
2023/07/30:14,0,0.151980681890597,0,0,9.28880680996608e-10,-9999
2023/07/30:15,0,0.151980206833843,0,0,1.86347215816191e-10,-9999
2023/07/30:16,0,0.151979743665042,0,0,0.000296938913774845,-9999
2023/07/30:17,0,0.151979308053263,0,0,0.0013778008616336,-9999
2023/07/30:18,0,0.151978894942142,0,0,0.00144063034485582,-9999
2023/07/30:19,0,0.151978493416576,0,0,0.000913361179241699,-9999
2023/07/30:20,0,0.151978110105159,0,0,0.00043784110840821,-9999
2023/07/30:21,0,0.151977741220997,0,0,0.000174643109454653,-9999
2023/07/30:22,0,0.151977375185936,0,0,6.10603909093196e-05,-9999
2023/07/30:23,0,0.151977026478252,0,0,1.93217681855627e-05,-9999
2023/07/31:00,0,0.151976689158043,0,0,5.65282427321968e-06,-9999
2023/07/31:01,0,0.151976357583541,0,0,1.55210530177447e-06,-9999
