Date,rain,SM,ExcS,ExcI,R,R_Obs
2023/07/26:00,0,0.101321924158683,0,0,0,-9999
2023/07/26:01,0,0.101321924158683,0,0,0,-9999
2023/07/26:02,0,0.101321924158683,0,0,0,-9999
2023/07/26:03,0,0.101321924158683,0,0,0,-9999
2023/07/26:04,0,0.101321924158683,0,0,0,-9999
2023/07/26:05,0,0.101321924158683,0,0,0,-9999
2023/07/26:06,0,0.101321924158683,0,0,0,-9999
2023/07/26:07,0,0.101321924158683,0,0,0,-9999
2023/07/26:08,0,0.101321924158683,0,0,0,-9999
2023/07/26:09,0,0.101321924158683,0,0,0,-9999
2023/07/26:10,0,0.101321924158683,0,0,0,-9999
2023/07/26:11,0,0.101321924158683,0,0,0,-9999
2023/07/26:12,0,0.101321924158683,0,0,0,-9999
2023/07/26:13,0,0.101321924158683,0,0,0,-9999
2023/07/26:14,0,0.101321924158683,0,0,0,-9999
2023/07/26:15,0,0.101321924158683,0,0,0,-9999
2023/07/26:16,0,0.101321924158683,0,0,0,-9999
2023/07/26:17,0,0.101321924158683,0,0,0,-9999
2023/07/26:18,0,0.101321924158683,0,0,0,-9999
2023/07/26:19,0,0.101321924158683,0,0,0,-9999
2023/07/26:20,0,0.101321924158683,0,0,0,-9999
2023/07/26:21,0,0.101321924158683,0,0,0,-9999
2023/07/26:22,0,0.101321924158683,0,0,0,-9999
2023/07/26:23,0,0.101321924158683,0,0,0,-9999
2023/07/27:00,0,0.101321924158683,0,0,0,-9999
2023/07/27:01,0,0.101321924158683,0,0,0,-9999
2023/07/27:02,0,0.101321924158683,0,0,0,-9999
2023/07/27:03,0,0.101321924158683,0,0,0,-9999
2023/07/27:04,0,0.101321924158683,0,0,0,-9999
2023/07/27:05,0,0.101321924158683,0,0,0,-9999
2023/07/27:06,0,0.101321924158683,0,0,0,-9999
2023/07/27:07,0,0.101321924158683,0,0,0,-9999
2023/07/27:08,0,0.101321924158683,0,0,0,-9999
2023/07/27:09,0,0.101321924158683,0,0,0,-9999
2023/07/27:10,0,0.101321924158683,0,0,0,-9999
2023/07/27:11,0,0.101321924158683,0,0,0,-9999
2023/07/27:12,0,0.101321924158683,0,0,0,-9999
2023/07/27:13,0,0.101321924158683,0,0,0,-9999
2023/07/27:14,0,0.101321924158683,0,0,0,-9999
2023/07/27:15,0,0.101321924158683,0,0,0,-9999
2023/07/27:16,0,0.101321924158683,0,0,0,-9999
2023/07/27:17,0,0.101321924158683,0,0,0,-9999
2023/07/27:18,0,0.101321924158683,0,0,0,-9999
2023/07/27:19,0,0.101321924158683,0,0,0,-9999
2023/07/27:20,0,0.101321924158683,0,0,0,-9999
2023/07/27:21,0,0.101321924158683,0,0,0,-9999
2023/07/27:22,0,0.101321924158683,0,0,0,-9999
2023/07/27:23,0,0.101321924158683,0,0,0,-9999
2023/07/28:00,0,0.101321924158683,0,0,0,-9999
2023/07/28:01,0,0.101321924158683,0,0,0,-9999
2023/07/28:02,0,0.101321924158683,0,0,0,-9999
2023/07/28:03,0,0.101321924158683,0,0,0,-9999
2023/07/28:04,0,0.101321924158683,0,0,0,-9999
2023/07/28:05,0,0.101321924158683,0,0,0,-9999
2023/07/28:06,0,0.101321924158683,0,0,0,-9999
2023/07/28:07,0,0.101321924158683,0,0,0,-9999
2023/07/28:08,0,0.101321924158683,0,0,0,-9999
2023/07/28:09,0,0.101321924158683,0,0,0,-9999
2023/07/28:10,0,0.101321924158683,0,0,0,-9999
2023/07/28:11,0,0.101321924158683,0,0,0,-9999
2023/07/28:12,0,0.101321924158683,0,0,0,-9999
2023/07/28:13,0,0.101321924158683,0,0,0,-9999
2023/07/28:14,0,0.101321924158683,0,0,0,-9999
2023/07/28:15,0,0.101321924158683,0,0,0,-9999
2023/07/28:16,0,0.101321924158683,0,0,0,-9999
2023/07/28:17,0,0.101321924158683,0,0,0,-9999
2023/07/28:18,0,0.101321924158683,0,0,0,-9999
2023/07/28:19,0,0.101321924158683,0,0,0,-9999
2023/07/28:20,0,0.101321924158683,0,0,0,-9999
2023/07/28:21,0,0.101321924158683,0,0,0,-9999
2023/07/28:22,0,0.101321924158683,0,0,0,-9999
2023/07/28:23,0,0.101321924158683,0,0,0,-9999
2023/07/29:00,0,0.101321924158683,0,0,0,-9999
2023/07/29:01,0,0.101321924158683,0,0,0,-9999
2023/07/29:02,0,0.101321924158683,0,0,0,-9999
2023/07/29:03,0,0.101321924158683,0,0,0,-9999
2023/07/29:04,0,0.101321924158683,0,0,0,-9999
2023/07/29:05,0,0.101321924158683,0,0,0,-9999
2023/07/29:06,0,0.101321924158683,0,0,0,-9999
2023/07/29:07,0,0.101321924158683,0,0,0,-9999
2023/07/29:08,0,0.101321924158683,0,0,0,-9999
2023/07/29:09,0,0.101321924158683,0,0,0,-9999
2023/07/29:10,0,0.101321924158683,0,0,0,-9999
2023/07/29:11,0,0.101321924158683,0,0,0,-9999
2023/07/29:12,0.0068167139368821,0.101322227032366,2.0677755090362e-07,0,0,-9999
2023/07/29:13,0.000471905311639364,0.101322227032366,0,0,0,-9999
2023/07/29:14,0.0070015627738621,0.101322360659162,1.15709132820204e-08,0,0,-9999
2023/07/29:15,0.0089653191811583,0.101327731599743,1.31591980405448e-06,0,0,-9999
2023/07/29:16,0,0.10132772906463,0,0,0,-9999
2023/07/29:17,0,0.101327726687239,0,0,0,-9999
2023/07/29:18,0,0.101327724718189,0,0,0,-9999
2023/07/29:19,0,0.101327722890001,0,0,0,-9999
2023/07/29:20,0,0.101327721168061,0,0,0,-9999
2023/07/29:21,0,0.101327719541663,0,0,0,-9999
2023/07/29:22,0,0.101327717960003,0,0,0,-9999
2023/07/29:23,0,0.101327716416024,0,0,2.03552418147933e-07,-9999
2023/07/30:00,0,0.101327714892484,0,0,4.13040568794011e-05,-9999
