Date,rain,SM,ExcS,ExcI,R,R_Obs
2023/07/26:00,0,0.353184382523962,0,0,0,-9999
2023/07/26:01,0,0.353184382523962,0,0,0,-9999
2023/07/26:02,0,0.353184382523962,0,0,0,-9999
2023/07/26:03,0,0.353184382523962,0,0,0,-9999
2023/07/26:04,0,0.353184382523962,0,0,0,-9999
2023/07/26:05,0,0.353184382523962,0,0,0,-9999
2023/07/26:06,0,0.353184382523962,0,0,0,-9999
2023/07/26:07,0,0.353184382523962,0,0,0,-9999
2023/07/26:08,0,0.353184382523962,0,0,0,-9999
2023/07/26:09,0,0.353184382523962,0,0,0,-9999
2023/07/26:10,0,0.353184382523962,0,0,0,-9999
2023/07/26:11,0,0.353184382523962,0,0,0,-9999
2023/07/26:12,0,0.353184382523962,0,0,0,-9999
2023/07/26:13,0,0.353184382523962,0,0,0,-9999
2023/07/26:14,0,0.353184382523962,0,0,0,-9999
2023/07/26:15,0,0.353184382523962,0,0,0,-9999
2023/07/26:16,0,0.353184382523962,0,0,0,-9999
2023/07/26:17,0,0.353184382523962,0,0,0,-9999
2023/07/26:18,0,0.353184382523962,0,0,0,-9999
2023/07/26:19,0,0.353184382523962,0,0,0,-9999
2023/07/26:20,0,0.353184382523962,0,0,0,-9999
2023/07/26:21,0,0.353184382523962,0,0,0,-9999
2023/07/26:22,0,0.353184382523962,0,0,0,-9999
2023/07/26:23,0,0.353184382523962,0,0,0,-9999
2023/07/27:00,0,0.353184382523962,0,0,0,-9999
2023/07/27:01,0,0.353184382523962,0,0,0,-9999
2023/07/27:02,0,0.353184382523962,0,0,0,-9999
2023/07/27:03,0,0.353184382523962,0,0,0,-9999
2023/07/27:04,0,0.353184382523962,0,0,0,-9999
2023/07/27:05,0,0.353184382523962,0,0,0,-9999
2023/07/27:06,0,0.353184382523962,0,0,0,-9999
2023/07/27:07,0,0.353184382523962,0,0,0,-9999
2023/07/27:08,0,0.353184382523962,0,0,0,-9999
2023/07/27:09,0,0.353184382523962,0,0,0,-9999
2023/07/27:10,0,0.353184382523962,0,0,0,-9999
2023/07/27:11,0,0.353184382523962,0,0,0,-9999
2023/07/27:12,0,0.353184382523962,0,0,0,-9999
2023/07/27:13,0,0.353184382523962,0,0,0,-9999
2023/07/27:14,0,0.353184382523962,0,0,0,-9999
2023/07/27:15,0,0.353184382523962,0,0,0,-9999
2023/07/27:16,0,0.353184382523962,0,0,0,-9999
2023/07/27:17,0,0.353184382523962,0,0,0,-9999
2023/07/27:18,0,0.353184382523962,0,0,0,-9999
2023/07/27:19,0,0.353184382523962,0,0,0,-9999
2023/07/27:20,0,0.353184382523962,0,0,0,-9999
2023/07/27:21,0,0.353184382523962,0,0,0,-9999
2023/07/27:22,0,0.353184382523962,0,0,0,-9999
2023/07/27:23,0,0.353184382523962,0,0,0,-9999
2023/07/28:00,0,0.353184382523962,0,0,0,-9999
2023/07/28:01,0,0.353184382523962,0,0,0,-9999
2023/07/28:02,0,0.353184382523962,0,0,0,-9999
2023/07/28:03,0,0.353184382523962,0,0,0,-9999
2023/07/28:04,0,0.353184382523962,0,0,0,-9999
2023/07/28:05,0,0.353184382523962,0,0,0,-9999
2023/07/28:06,0,0.353184382523962,0,0,0,-9999
2023/07/28:07,0,0.353184382523962,0,0,0,-9999
2023/07/28:08,0,0.353184382523962,0,0,0,-9999
2023/07/28:09,0,0.353184382523962,0,0,0,-9999
2023/07/28:10,0,0.353184382523962,0,0,0,-9999
2023/07/28:11,0,0.353184382523962,0,0,0,-9999
2023/07/28:12,0,0.353184382523962,0,0,0,-9999
2023/07/28:13,0,0.353184382523962,0,0,0,-9999
2023/07/28:14,0,0.353184382523962,0,0,0,-9999
2023/07/28:15,0,0.353184382523962,0,0,0,-9999
2023/07/28:16,0,0.353184382523962,0,0,0,-9999
2023/07/28:17,0,0.353184382523962,0,0,0,-9999
2023/07/28:18,0,0.353184382523962,0,0,0,-9999
2023/07/28:19,0,0.353184382523962,0,0,0,-9999
2023/07/28:20,0,0.353184382523962,0,0,0,-9999
2023/07/28:21,0,0.353184382523962,0,0,0,-9999
2023/07/28:22,0,0.353184382523962,0,0,0,-9999
2023/07/28:23,0,0.353184382523962,0,0,0,-9999
2023/07/29:00,0,0.353184382523962,0,0,0,-9999
2023/07/29:01,0,0.353184382523962,0,0,0,-9999
2023/07/29:02,0,0.353184382523962,0,0,0,-9999
2023/07/29:03,0,0.353184382523962,0,0,0,-9999
2023/07/29:04,0,0.353184382523962,0,0,0,-9999
2023/07/29:05,0,0.353184382523962,0,0,0,-9999
2023/07/29:06,0,0.353184382523962,0,0,0,-9999
2023/07/29:07,0,0.353184382523962,0,0,0,-9999
2023/07/29:08,0,0.353184382523962,0,0,0,-9999
2023/07/29:09,0,0.353184382523962,0,0,0,-9999
2023/07/29:10,0.000353500036006163,0.353184382523962,0,0,0,-9999
2023/07/29:11,5.18790950492493e-05,0.353184382523962,0,0,0,-9999
2023/07/29:12,0.0059793170907914,0.353185687980188,5.84972610125548e-07,0,0,-9999
2023/07/29:13,0.00241955889594966,0.353186049171286,3.44181559190444e-07,0,0,-9999
2023/07/29:14,0.0277904016137878,0.353207025356928,3.23632688104241e-05,0,0,-9999
2023/07/29:15,0.00180222734682665,0.353207471464699,2.75600703134966e-06,0,0,-9999
2023/07/29:16,0,0.3532074299797,0,0,0,-9999
2023/07/29:17,0,0.353207387476627,0,0,0,-9999
2023/07/29:18,0,0.353207345971832,0,0,0,-9999
2023/07/29:19,0,0.353207305281697,0,0,0,-9999
2023/07/29:20,0,0.353207266965631,0,0,0,-9999
2023/07/29:21,0,0.353207229896911,0,0,0,-9999
2023/07/29:22,0,0.353207194065288,0,0,0,-9999
2023/07/29:23,0,0.353207159858221,0,0,0,-9999
2023/07/30:00,0,0.353207127083211,0,0,2.52630983017971e-05,-9999
2023/07/30:01,0,0.353207095162023,0,0,0.000126774692472477,-9999
2023/07/30:02,0,0.3532070627633,0,0,0.00140897344648988,-9999
2023/07/30:03,0,0.353207024049566,0,0,0.00663827409234608,-9999
2023/07/30:04,0,0.353206978888748,0,0,0.011434197029823,-9999
2023/07/30:05,0,0.353206922720526,0,0,0.0120513397490994,-9999
2023/07/30:06,0,0.35320684720625,0,0,0.00935085419551367,-9999
2023/07/30:07,0,0.353206787622199,0,0,0.00585399000473946,-9999
2023/07/30:08,0,0.353206734637066,0,0,0.00311987238240005,-9999
2023/07/30:09,0.00611930424238471,0.353206856348413,2.54694502614668e-06,0,0.00146551322870475,-9999
2023/07/30:10,0.423738135563675,0.353656443260519,0.00506611890160491,0,0.000621521048831264,-9999
2023/07/30:11,0.381805868763877,0.35400767649429,0.00298035109466017,0,0.000242172960567134,-9999
2023/07/30:12,0.0149274741119275,0.354006303822817,0,0,8.78454947056396e-05,-9999
2023/07/30:13,0.00612683737785964,0.354005198590341,0,0,2.99690242337011e-05,-9999
2023/07/30:14,0,0.354004249380269,0,0,9.69400947222318e-06,-9999
2023/07/30:15,0,0.354003400093334,0,0,2.99265259093737e-06,-9999
2023/07/30:16,0,0.354002599221508,0,0,8.86476403851639e-07,-9999
2023/07/30:17,0,0.354001829573789,0,0,2.53093291870008e-07,-9999
2023/07/30:18,0,0.354001087020959,0,0,6.99092054226292e-08,-9999
2023/07/30:19,0,0.354000359844769,0,0,1.87422503689991e-08,-9999
2023/07/30:20,0,0.353999647990687,0,0,4.89033823811156e-09,-9999
2023/07/30:21,0,0.353998947659072,0,0,0.000471087760236949,-9999
2023/07/30:22,0,0.353998264802882,0,0,0.00592147061516454,-9999
2023/07/30:23,0,0.353997591367432,0,0,0.014550199729701,-9999
2023/07/31:00,0,0.353996926679388,0,0,0.15567465964809,-9999
2023/07/31:01,0,0.353996278366261,0,0,0.438133709133232,-9999
2023/07/31:02,0,0.35399563748319,0,0,0.923007147956248,-9999
2023/07/31:03,0,0.353994711998211,0,0,1.60224156474876,-9999
2023/07/31:04,0,0.353993467551627,0,0,2.08882688901927,-9999
2023/07/31:05,0,0.353992114286755,0,0,2.08545221811378,-9999
2023/07/31:06,0,0.35399072852101,0,0,1.67547271239389,-9999
2023/07/31:07,0,0.35398932024834,0,0,1.13136255564391,-9999
2023/07/31:08,0,0.353988004345141,0,0,0.663743305147097,-9999
2023/07/31:09,0,0.353986782563339,0,0,0.346834476115067,-9999
2023/07/31:10,0.00674187273901527,0.35398643999813,1.14051847016248e-05,0,0.164491012301387,-9999
2023/07/31:11,0.0977975631808279,0.354070135001731,0.00104169782447443,0,0.0718403439690951,-9999
