Date,rain,SM,ExcS,ExcI,R,R_Obs
2023/07/26:00,0,0.414725251451806,0,0,0,-9999
2023/07/26:01,0,0.414725251451806,0,0,0,-9999
2023/07/26:02,0,0.414725251451806,0,0,0,-9999
2023/07/26:03,0,0.414725251451806,0,0,0,-9999
2023/07/26:04,0,0.414725251451806,0,0,0,-9999
2023/07/26:05,0,0.414725251451806,0,0,0,-9999
2023/07/26:06,0,0.414725251451806,0,0,0,-9999
2023/07/26:07,0,0.414725251451806,0,0,0,-9999
2023/07/26:08,0,0.414725251451806,0,0,0,-9999
2023/07/26:09,0,0.414725251451806,0,0,0,-9999
2023/07/26:10,0,0.414725251451806,0,0,0,-9999
2023/07/26:11,0,0.414725251451806,0,0,0,-9999
2023/07/26:12,0,0.414725251451806,0,0,0,-9999
2023/07/26:13,0,0.414725251451806,0,0,0,-9999
2023/07/26:14,0,0.414725251451806,0,0,0,-9999
2023/07/26:15,0,0.414725251451806,0,0,0,-9999
2023/07/26:16,0,0.414725251451806,0,0,0,-9999
2023/07/26:17,0,0.414725251451806,0,0,0,-9999
2023/07/26:18,0,0.414725251451806,0,0,0,-9999
2023/07/26:19,0,0.414725251451806,0,0,0,-9999
2023/07/26:20,0,0.414725251451806,0,0,0,-9999
2023/07/26:21,0,0.414725251451806,0,0,0,-9999
2023/07/26:22,0,0.414725251451806,0,0,0,-9999
2023/07/26:23,0,0.414725251451806,0,0,0,-9999
2023/07/27:00,0,0.414725251451806,0,0,0,-9999
2023/07/27:01,0,0.414725251451806,0,0,0,-9999
2023/07/27:02,0,0.414725251451806,0,0,0,-9999
2023/07/27:03,0,0.414725251451806,0,0,0,-9999
2023/07/27:04,0,0.414725251451806,0,0,0,-9999
2023/07/27:05,0,0.414725251451806,0,0,0,-9999
2023/07/27:06,0,0.414725251451806,0,0,0,-9999
2023/07/27:07,0,0.414725251451806,0,0,0,-9999
2023/07/27:08,0,0.414725251451806,0,0,0,-9999
2023/07/27:09,0,0.414725251451806,0,0,0,-9999
2023/07/27:10,0,0.414725251451806,0,0,0,-9999
2023/07/27:11,0,0.414725251451806,0,0,0,-9999
2023/07/27:12,0,0.414725251451806,0,0,0,-9999
2023/07/27:13,0,0.414725251451806,0,0,0,-9999
2023/07/27:14,0,0.414725251451806,0,0,0,-9999
2023/07/27:15,0,0.414725251451806,0,0,0,-9999
2023/07/27:16,0,0.414725251451806,0,0,0,-9999
2023/07/27:17,0,0.414725251451806,0,0,0,-9999
2023/07/27:18,0,0.414725251451806,0,0,0,-9999
2023/07/27:19,0,0.414725251451806,0,0,0,-9999
2023/07/27:20,0,0.414725251451806,0,0,0,-9999
2023/07/27:21,0,0.414725251451806,0,0,0,-9999
2023/07/27:22,0,0.414725251451806,0,0,0,-9999
2023/07/27:23,0,0.414725251451806,0,0,0,-9999
2023/07/28:00,0,0.414725251451806,0,0,0,-9999
2023/07/28:01,0,0.414725251451806,0,0,0,-9999
2023/07/28:02,0,0.414725251451806,0,0,0,-9999
2023/07/28:03,0,0.414725251451806,0,0,0,-9999
2023/07/28:04,0,0.414725251451806,0,0,0,-9999
2023/07/28:05,0,0.414725251451806,0,0,0,-9999
2023/07/28:06,0,0.414725251451806,0,0,0,-9999
2023/07/28:07,0,0.414725251451806,0,0,0,-9999
2023/07/28:08,0,0.414725251451806,0,0,0,-9999
2023/07/28:09,0,0.414725251451806,0,0,0,-9999
2023/07/28:10,0,0.414725251451806,0,0,0,-9999
2023/07/28:11,0,0.414725251451806,0,0,0,-9999
2023/07/28:12,0,0.414725251451806,0,0,0,-9999
2023/07/28:13,0,0.414725251451806,0,0,0,-9999
2023/07/28:14,0,0.414725251451806,0,0,0,-9999
2023/07/28:15,0,0.414725251451806,0,0,0,-9999
2023/07/28:16,0,0.414725251451806,0,0,0,-9999
2023/07/28:17,0,0.414725251451806,0,0,0,-9999
2023/07/28:18,0,0.414725251451806,0,0,0,-9999
2023/07/28:19,0,0.414725251451806,0,0,0,-9999
2023/07/28:20,0,0.414725251451806,0,0,0,-9999
2023/07/28:21,0,0.414725251451806,0,0,0,-9999
2023/07/28:22,0,0.414725251451806,0,0,0,-9999
2023/07/28:23,0,0.414725251451806,0,0,0,-9999
2023/07/29:00,0,0.414725251451806,0,0,0,-9999
2023/07/29:01,0,0.414725251451806,0,0,0,-9999
2023/07/29:02,0,0.414725251451806,0,0,0,-9999
2023/07/29:03,0,0.414725251451806,0,0,0,-9999
2023/07/29:04,0,0.414725251451806,0,0,0,-9999
2023/07/29:05,0,0.414725251451806,0,0,0,-9999
2023/07/29:06,0,0.414725251451806,0,0,0,-9999
2023/07/29:07,0,0.414725251451806,0,0,0,-9999
2023/07/29:08,0,0.414725251451806,0,0,0,-9999
2023/07/29:09,0,0.414725251451806,0,0,0,-9999
2023/07/29:10,0,0.414725251451806,0,0,0,-9999
2023/07/29:11,0,0.414725251451806,0,0,0,-9999
2023/07/29:12,0,0.414725251451806,0,0,0,-9999
2023/07/29:13,0,0.414725251451806,0,0,0,-9999
2023/07/29:14,2.12121088155491e-05,0.414725251451806,0,0,0,-9999
2023/07/29:15,0.00299515222036075,0.414725251451806,0,0,0,-9999
2023/07/29:16,0,0.414725251451806,0,0,0,-9999
2023/07/29:17,0,0.414725251451806,0,0,0,-9999
2023/07/29:18,0,0.414725251451806,0,0,0,-9999
2023/07/29:19,0,0.414725251451806,0,0,0,-9999
2023/07/29:20,0,0.414725251451806,0,0,0,-9999
2023/07/29:21,0,0.414725251451806,0,0,0,-9999
2023/07/29:22,0,0.414725251451806,0,0,0,-9999
2023/07/29:23,0,0.414725251451806,0,0,0,-9999
2023/07/30:00,0,0.414725251451806,0,0,0,-9999
2023/07/30:01,0,0.414725251451806,0,0,0,-9999
2023/07/30:02,0,0.414725251451806,0,0,0,-9999
2023/07/30:03,0,0.414725251451806,0,0,0,-9999
2023/07/30:04,0,0.414725251451806,0,0,0,-9999
2023/07/30:05,0,0.414725251451806,0,0,0,-9999
2023/07/30:06,0,0.414725251451806,0,0,0,-9999
2023/07/30:07,0,0.414725251451806,0,0,0,-9999
2023/07/30:08,0,0.414725251451806,0,0,0,-9999
2023/07/30:09,0.00264891121595733,0.414725251451806,0,0,0,-9999
2023/07/30:10,0.0360544251971779,0.414725415483254,4.84751319983974e-07,0,0,-9999
2023/07/30:11,0.0706729474569058,0.414733799314295,3.53505248398821e-05,0,0,-9999
2023/07/30:12,0.0190109474265177,0.414733682013602,0,0,0,-9999
2023/07/30:13,0.0733589908222091,0.414760916931219,4.70637583995429e-05,0,0,-9999
2023/07/30:14,0.0182857615200234,0.414760670780774,3.86720105516013e-10,0,0,-9999
2023/07/30:15,0.010165833157365,0.41476041537556,0,0,0,-9999
2023/07/30:16,3.20664095723493e-05,0.414760150737278,0,0,1.19193046398608e-07,-9999
2023/07/30:17,0,0.414759899626935,0,0,5.81199296632704e-05,-9999
2023/07/30:18,0,0.414759657190485,0,0,0.00201225704942744,-9999
2023/07/30:19,0,0.414759420715404,0,0,0.00238549926588831,-9999
2023/07/30:20,0,0.414759187451562,0,0,0.00418070670144849,-9999
2023/07/30:21,0,0.414758972145768,0,0,0.00382923304920283,-9999
2023/07/30:22,0,0.414758775547843,0,0,0.00233242823111796,-9999
2023/07/30:23,0,0.414758590479384,0,0,0.00109948180806042,-9999
2023/07/31:00,0,0.414758413023223,0,0,0.000434863967746634,-9999
2023/07/31:01,0,0.414758246594916,0,0,0.000151317310057658,-9999
2023/07/31:02,0,0.414758087120961,0,0,4.77427261768274e-05,-9999
2023/07/31:03,0,0.414757871152493,0,0,1.39412780231553e-05,-9999
2023/07/31:04,0,0.414757589796333,0,0,3.82296060782304e-06,-9999
2023/07/31:05,0,0.414757303980652,0,0,9.95101729062109e-07,-9999
2023/07/31:06,0,0.414757036401628,0,0,2.47887859623855e-07,-9999
2023/07/31:07,0,0.414756790879464,0,0,5.94741762834855e-08,-9999
2023/07/31:08,0,0.414756561040185,0,0,1.38129110855368e-08,-9999
2023/07/31:09,0.00655707093452229,0.414756421286285,0,0,3.11819418499221e-09,-9999
2023/07/31:10,0.0045849358134222,0.414756215389367,0,0,6.86500577645166e-10,-9999
2023/07/31:11,0.000820896266054786,0.414756038780165,0,0,1.47812357711503e-10,-9999
